method,input_dim,scheme,threshold_ratio,ratio_val_acc,adc_bits,weight_bits,timesteps,val_acc,test_acc
bilinear_8x8,64,B,0.3,0.848,6,2,1,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,2,3,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,2,5,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,2,10,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,2,20,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,3,1,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,3,3,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,3,5,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,3,10,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,3,20,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,4,1,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,4,3,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,4,5,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,4,10,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,4,20,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,6,1,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,6,3,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,6,5,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,6,10,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,6,20,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,8,1,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,6,8,3,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,6,8,5,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,6,8,10,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,6,8,20,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,8,2,1,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,2,3,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,2,5,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,2,10,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,2,20,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,3,1,0.7828,0.7979
bilinear_8x8,64,B,0.3,0.848,8,3,3,0.7828,0.7979
